Линия жизни

№	Страница	Жизненная задача
1	2.5	Задача о воспитателе — Опыт трудных побед, Эффект бабушки
2	2.4	Чужая игрушка
3	1.1	Педагогические правила
4	2.3.2	Выбор школы
5	6.5	Развивающая среда
6	3.7.4	Опасный возраст
7	10.5.1	Виртуальный мир — выбор профессии
8	10.5.2	Правила расчёта — человек, задача, сообщество
9	3.7.2	Маневры — выбор партнёра
10	6.4	Задача о молодожёнах
11	10.5.4	Проблема диалога
12	10.5.3.1	Вписанность — человек и коллектив
13	3.7.1.1	Колобок и его команда — «Как умному выжить»
14	2.5 + 1.1	Родительство — возвращение к началу уже с позиции взрослого
15	3.7.5	Деды и внуки
